emissions_total_per_capita	renewable_share_of_electricity__pct
2.5079155	53.430355
2.056673	63.23817
2.1342564	57.854576
3.97764	34.93761
4.0298004	22.82794
3.718851	27.715355
3.505421	29.582577
3.8731613	26.923079
4.0665092	32.45228
8.359842	98.01973
8.002147	97.93769
7.664853	98.51607
7.5864964	99.31903
7.47844	98.65547
7.0484023	98.54158
15.306236	0.053008217
15.622156	0.051480055
15.174401	0.54488844
16.691107	0.62984496
16.195124	0.6271778
15.5492115	0.6028132
0.9269328	25.678188
0.8995737	29.334534
0.98192537	27.416311
1.0351748	25.236254
0.9184809	24.316145
0.8107599	27.333126
0.6095915	14.285715
0.65849155	14.814815
0.656242	21.428572
0.70096153	22.47191
0.6626759	22.580645
2.2800763	77.76786
3.1001267	52.749138
1.6887718	75.68556
2.425771	78.36499
2.5803778	78.21857
0.80816054	26.315792
0.83106965	27.917622
0.8014462	28.87828
0.81192154	26.190477
0.80373335	25.05176
1.3070389	100.0
1.2483938	100.0
1.1171713	100.0
1.2168084	100.0
1.1992521	100.0
1.189241	100.0
1.7508639	60.76433
1.7986559	60.38232
1.4289497	63.74834
1.568856	61.810814
1.6368144	61.363636
1.6505452	58.86868
1.2861164	23.370764
1.2953051	20.78657
1.1797879	21.2285
1.248213	22.39917
1.2714316	21.829926
1.3454357	21.655674
8.788192	12.760432
8.311783	15.598578
7.92311	17.96373
8.700768	17.09268
8.207285	21.080929
7.4628654	27.146667
4.97228	50.402744
4.600439	53.120155
4.024724	58.591167
3.8768623	64.07964
3.9058208	59.62036
3.5690997	72.8164
34.575947	0.3121099
36.105545	0.26
36.56411	0.2834008
37.032436	0.28963122
36.70004	0.27752084
38.842007	0.275786
4.0636744	40.877167
3.9205754	41.91627
3.8009787	44.57526
4.0144405	44.979507
3.8083065	43.11826
3.569303	50.390903
11.694962	17.309929
11.635815	17.548471
11.15608	19.923162
11.739159	19.034286
12.379392	17.57674
12.485692	17.566477
0.10309137	40.74074
0.10744573	48.837208
0.10499269	62.5
0.12420205	58.163265
0.11286771	54.081627
2.0142937	0.0
2.6916437	0.0
2.0340488	0.0
2.0438824	0.0
1.9994371	0.0
5.2243714	4.347826
5.3880053	4.347826
4.92757	4.5454545
4.9388504	4.5454545
4.7928042	4.5454545
2.8776712	0.0
2.825776	0.0
2.7139676	0.0
2.8328466	0.0
2.742586	0.0
9.948074	0.0
11.250768	0.0
10.715293	0.0
9.5466385	0.0
9.309224	0.0
2.305567	13.333333
2.146126	13.333333
2.3013074	23.529411
2.281156	23.529411
2.2286887	23.529411
1.1474714	40.0
1.2926443	37.5
1.1412176	35.294117
1.1485088	40.0
1.1679227	31.578947
0.6625426	0.0
0.66974753	9.090909
0.64040625	9.090909
0.6438903	9.090909
0.70649457	7.142857
20.994095	0.04269285
21.579525	0.0581165
19.879406	0.057757944
22.211275	0.21377309
22.480951	0.20916855
22.132036	1.3643216
0.7119568	14.17004
0.7774175	13.402061
0.6445196	16.831684
0.71479875	20.270271
0.69541025	25.773195
6.313477	31.133085
6.3562794	29.920214
6.538972	28.801054
6.39086	34.841747
6.4078465	29.318497
6.253774	35.909206
5.225092	1.923077
5.046789	7.017544
4.966297	11.864408
4.9766817	13.333333
4.4126396	14.516129
0.13580218	66.666664
0.12984261	95.0
0.129658	95.0
0.15525901	95.0
0.15435511	95.0
8.927446	2.812913
8.642737	2.7890654
8.309455	2.8076127
9.033147	2.9037461
8.4733	4.093465
8.507941	4.535147
6.643141	21.792948
6.206926	23.573202
5.711151	24.026657
6.470303	22.794613
5.7645545	21.929163
5.5706987	22.915964
7.016358	32.382133
6.738732	31.718061
6.114485	33.0373
6.1789403	34.89416
6.004816	30.464075
5.347735	38.764782
0.4082267	0.0
0.4025793	0.0
0.38881806	0.0
0.37959152	0.0
0.3794816	0.0
0.041257966	5.4054055
0.039769154	5.4054055
0.03586731	8.108108
0.03585213	10.526316
0.03147589	10.526316
7.4144244	4.880428
7.7887363	5.028309
7.16727	5.8506637
6.9252067	7.31857
6.497632	9.785933
6.3578267	12.953798
12.977493	4.30764
12.480777	5.15167
11.524341	6.307181
11.882247	7.118768
11.62734	8.255816
11.158091	8.945115
0.17156464	1.8181818
0.17083813	1.7857143
0.158226	1.7857143
0.16152208	3.448276
0.1441006	3.2258065
5.703422	38.271923
5.282928	37.331806
4.4430604	43.854782
4.7987103	46.44506
4.906234	42.62759
4.6255174	50.075996
0.9031052	45.401554
0.9475737	34.85607
0.91415465	36.778694
1.0138694	51.191895
0.87160707	37.05409
0.88446397	50.388237
0.46384126	59.7561
0.47511515	63.748463
0.4523519	64.82558
0.4622384	62.655365
0.40985763	62.430008
3.4853392	56.424583
4.3514423	51.87166
4.7658405	48.768475
4.277874	48.32536
4.23634	48.32536
4.1333666	55.797012
3.9724972	58.745995
3.5448945	68.4699
3.7090452	67.3827
3.573317	68.3186
3.464577	69.15725
4.32806	58.65138
4.2810693	59.869633
3.9613538	62.198864
4.109331	66.59271
3.7327585	58.77629
3.6905727	63.450417
1.5004996	4.28807
1.3463072	4.4142613
1.2500484	4.7589993
1.2036942	4.6044865
1.1269557	4.626334
11.999405	3.9449806
11.592632	4.9017105
11.503086	4.782314
12.036995	5.381998
11.685236	7.6522646
11.200046	8.6510105
0.8660396	93.161095
0.91206217	91.45993
0.96463424	90.0995
0.92584985	90.057915
0.88055193	89.36782
0.25089064	31.9236
0.27675864	33.29049
0.2665194	41.528664
0.29072848	37.02422
0.2740748	32.594234
4.0392394	14.356436
3.9411173	14.862474
3.7956147	14.211243
3.7244093	15.009072
3.799712	15.780426
3.6873055	15.617618
0.2572893	33.898308
0.27396706	34.246574
0.28130147	21.739132
0.300787	25.882353
0.29509643	25.0
1.2844812	14.285714
1.5260453	14.285714
1.7336501	14.285714
1.806809	14.285714
1.8577782	12.5
27.422825	0.108342364
27.466105	0.108695656
23.677786	0.108342364
24.476803	0.10787486
24.270796	0.10615711
22.834675	0.06438073
2.6462247	3.0873132
2.556072	3.7511435
2.3793378	3.9775383
2.586767	4.240766
2.6360955	3.0660377
2.6878552	3.1859248
4.9997516	32.257206
4.7177076	43.797054
4.7963643	42.16225
5.2223163	35.400146
5.023125	41.911034
4.9510155	42.008816
9.429271	0.0
9.285526	0.0
9.246278	0.0
8.944568	0.04436557
8.873182	0.043346338
8.603915	0.030196952
8.735154	0.0
8.407761	0.0
8.094134	0.0
8.103864	0.0
7.752226	0.0
0.13350488	93.661964
0.13398354	98.00884
0.12532045	98.67257
0.1343297	99.036606
0.119163275	98.88683
5.124302	8.150882
4.9367437	7.7007914
4.6290064	11.468978
4.744018	13.78401
3.4380214	16.094402
3.6164997	19.738136
22.435678	0.88228816
23.435728	2.6435537
23.006842	3.7727604
22.08925	4.194068
22.06371	4.5043297
5.6886287	33.062843
5.4350815	36.926117
4.844164	43.106213
5.0911255	39.585293
4.603082	41.38428
4.4428277	46.015198
16.05042	17.44999
15.578155	18.294624
13.889589	20.315693
14.793604	20.74287
14.870763	22.350597
14.299027	22.672834
1.9346937	97.535934
